Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Waldkirch;Buchholz (Breisgau);Bahnhof;Buchholz (Brsg) Bahnhof;;de:08316:6532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Waldkirch;Kollnau;Bahnhof;Kollnau Bahnhof;;de:08316:6533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmendingen;Winden im Elztal;Oberwinden (Elztal);Bahnhof;Oberwinden Bahnhof;;de:08316:6525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Birkenfeld;Birkenfeld (Württ);Birkenfeld;Birkenfeld;;de:08236:1090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Illingen;Illingen (Enz);Illingen;Illingen;;de:08236:2590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Ispringen;Ispringen;Ispringen Bahnhof;Ispringen Bahnhof;;de:08236:1790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Kämpfelbach;Ersingen (Kämpfelb.);Ersingen;Ersingen;;de:08236:1791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Kämpfelbach;Bilfingen;Bilfingen;Bilfingen;;de:08236:1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Kämpfelbach;Ersingen (Kämpfelb.);Ersingen West;Ersingen  West;;de:08236:1795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Königsbach-Stein;Königsbach (Baden);Königsbach Bf;Königsbach Bf;;de:08236:1793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Maulbronn;Maulbronn;Westbahnhof;Maulbronn Westbahnhof;;de:08236:2292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Maulbronn;Maulbronn;Stadtbahnhof;Maulbronn Stadtbahnhof;;de:08236:2293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Mühlacker;Enzberg;Enzberg;Enzberg;;de:08236:2791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Mühlacker;Mühlacker;Bahnhof;Mühlacker Bahnhof;;de:08236:3090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enzkreis;Neuenbürg;Neuenbürg (Enzkreis);Neuenbürg;Neuenbürg;;de:08236:1490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
